,ID,TM,ME,PA,AE,SS
0,0000,00,00,00,T,88.75
1,0000,00,00,01,T,70.0
2,0000,00,00,02,T,55.0
3,0000,00,00,03,T,27.5
4,0000,00,00,04,T,12.5
5,0000,00,01,00,T,73.75
6,0000,00,01,01,T,62.5
7,0000,00,01,02,T,42.5
8,0000,00,01,03,T,10.0
9,0000,00,01,04,T,7.5
10,0000,00,10,00,T,45.0
11,0000,00,11,00,T,87.5
12,0000,00,02,00,T,83.75
13,0000,00,02,01,T,67.5
14,0000,00,02,02,T,52.5
15,0000,00,02,03,T,37.5
16,0000,00,02,04,T,22.5
17,0000,00,03,01,T,45.0
18,0000,00,03,02,T,22.5
19,0000,00,03,03,T,0.0
20,0000,00,03,04,T,5.0
21,0000,00,04,00,T,55.0
22,0000,00,04,01,T,30.0
23,0000,00,04,02,T,17.5
24,0000,00,06,00,T,15.0
25,0000,00,06,02,T,45.0
26,0000,00,07,00,T,15.0
27,0000,00,07,01,T,25.0
28,0000,00,08,01,T,15.0
29,0000,00,09,00,T,42.5
30,0000,00,09,01,T,17.5
31,0000,00,09,02,T,0.0
32,0000,00,09,03,T,42.5
33,0000,00,09,04,T,22.5
34,0000,00,09,05,T,10.0
35,0001,00,00,00,T,90.0
36,0001,00,00,01,T,72.5
37,0001,00,00,02,T,57.5
38,0001,00,00,03,T,32.5
39,0001,00,00,04,T,10.0
40,0001,00,01,00,T,76.25
41,0001,00,01,01,T,57.5
42,0001,00,01,02,T,35.0
43,0001,00,01,03,T,12.5
44,0001,00,01,04,T,5.0
45,0001,00,10,00,T,20.0
46,0001,00,11,00,T,87.5
47,0001,00,02,00,T,83.75
48,0001,00,02,01,T,72.5
49,0001,00,02,02,T,55.0
50,0001,00,02,03,T,37.5
51,0001,00,02,04,T,22.5
52,0001,00,03,00,T,57.5
53,0001,00,03,01,T,47.5
54,0001,00,03,02,T,32.5
55,0001,00,03,03,T,10.0
56,0001,00,03,04,T,2.5
57,0001,00,04,00,T,55.0
58,0001,00,04,01,T,35.0
59,0001,00,04,02,T,20.0
60,0001,00,06,00,T,30.0
61,0001,00,07,00,T,12.5
62,0001,00,07,01,T,27.5
63,0001,00,08,01,T,17.5
64,0001,00,09,00,T,50.0
65,0001,00,09,01,T,32.5
66,0001,00,09,02,T,17.5
67,0001,00,09,03,T,55.0
68,0001,00,09,04,T,30.0
69,0001,00,09,05,T,12.5
70,0002,00,00,00,T,91.25
71,0002,00,00,01,T,81.25
72,0002,00,00,02,T,72.5
73,0002,00,00,03,T,50.0
74,0002,00,00,04,T,32.5
75,0002,00,01,00,T,83.75
76,0002,00,01,01,T,72.5
77,0002,00,01,02,T,52.5
78,0002,00,01,03,T,32.5
79,0002,00,01,04,T,15.0
80,0002,00,10,00,T,15.0
81,0002,00,11,00,T,85.0
82,0002,00,02,00,T,83.75
83,0002,00,02,01,T,77.5
84,0002,00,02,02,T,60.0
85,0002,00,02,03,T,45.0
86,0002,00,02,04,T,30.0
87,0002,00,03,01,T,57.5
88,0002,00,03,02,T,22.5
89,0002,00,04,01,T,30.0
90,0002,00,04,02,T,27.5
91,0002,00,06,00,T,22.5
92,0002,00,09,00,T,75.0
93,0002,00,09,01,T,47.5
94,0002,00,09,02,T,25.0
95,0002,00,09,03,T,42.5
96,0002,00,09,04,T,30.0
97,0002,00,09,05,T,10.0
98,0003,00,00,00,T,90.0
99,0003,00,00,01,T,80.0
100,0003,00,00,02,T,65.0
101,0003,00,00,03,T,45.0
102,0003,00,00,04,T,25.0
103,0003,00,01,00,T,83.75
104,0003,00,01,01,T,72.5
105,0003,00,01,02,T,45.0
106,0003,00,01,03,T,27.5
107,0003,00,01,04,T,10.0
108,0003,00,10,00,T,30.0
109,0003,00,11,00,T,82.5
110,0003,00,02,00,T,85.0
111,0003,00,02,01,T,72.5
112,0003,00,02,02,T,60.0
113,0003,00,02,03,T,42.5
114,0003,00,02,04,T,27.5
115,0003,00,03,00,T,67.5
116,0003,00,03,01,T,55.0
117,0003,00,03,02,T,35.0
118,0003,00,03,03,T,20.0
119,0003,00,03,04,T,2.5
120,0003,00,04,00,T,67.5
121,0003,00,04,01,T,42.5
122,0003,00,04,02,T,27.5
123,0003,00,05,00,T,32.5
124,0003,00,06,00,T,27.5
125,0003,00,07,01,T,30.0
126,0003,00,08,01,T,20.0
127,0003,00,09,00,T,50.0
128,0003,00,09,01,T,37.5
129,0003,00,09,02,T,17.5
130,0003,00,09,03,T,40.0
131,0003,00,09,04,T,20.0
132,0003,00,09,05,T,7.5
133,0004,00,00,00,T,91.25
134,0004,00,00,01,T,76.25
135,0004,00,00,02,T,65.0
136,0004,00,00,03,T,40.0
137,0004,00,00,04,T,15.0
138,0004,00,01,00,T,77.5
139,0004,00,01,01,T,62.5
140,0004,00,01,02,T,45.0
141,0004,00,01,03,T,25.0
142,0004,00,01,04,T,10.0
143,0004,00,10,00,T,40.0
144,0004,00,11,00,T,85.0
145,0004,00,02,00,T,85.0
146,0004,00,02,01,T,67.5
147,0004,00,02,02,T,55.0
148,0004,00,02,03,T,37.5
149,0004,00,02,04,T,27.5
150,0004,00,03,00,T,62.5
151,0004,00,03,01,T,67.5
152,0004,00,03,02,T,47.5
153,0004,00,03,03,T,17.5
154,0004,00,03,04,T,5.0
155,0004,00,04,00,T,67.5
156,0004,00,04,01,T,52.5
157,0004,00,04,02,T,30.0
158,0004,00,05,00,T,32.5
159,0004,00,06,00,T,22.5
160,0004,00,07,00,T,20.0
161,0004,00,07,01,T,25.0
162,0004,00,08,01,T,17.5
163,0004,00,09,00,T,60.0
164,0004,00,09,01,T,40.0
165,0004,00,09,02,T,20.0
166,0004,00,09,03,T,42.5
167,0004,00,09,04,T,27.5
168,0004,00,09,05,T,12.5
169,0005,00,01,00,T,78.75
170,0005,00,01,01,T,67.5
171,0005,00,01,02,T,42.5
172,0005,00,01,03,T,20.0
173,0005,00,01,04,T,10.0
174,0005,00,11,00,T,85.0
175,0005,00,02,00,T,76.25
176,0005,00,02,01,T,62.5
177,0005,00,02,02,T,45.0
178,0005,00,02,03,T,30.0
179,0005,00,02,04,T,20.0
180,0005,00,06,00,T,20.0
181,0005,00,07,00,T,17.5
182,0005,00,08,01,T,17.5
183,0005,00,09,01,T,27.5
184,0005,00,09,02,T,17.5
185,0005,00,09,04,T,37.5
186,0005,00,09,05,T,22.5
187,0006,00,00,02,T,70.0
188,0006,00,00,03,T,52.5
189,0006,00,01,00,T,82.5
190,0006,00,01,01,T,65.0
191,0006,00,01,02,T,50.0
192,0006,00,01,03,T,30.0
193,0006,00,01,04,T,15.0
194,0006,00,11,00,T,80.0
195,0006,00,02,00,T,85.0
196,0006,00,02,01,T,70.0
197,0006,00,02,02,T,57.5
198,0006,00,02,03,T,42.5
199,0006,00,02,04,T,25.0
200,0006,00,06,00,T,25.0
201,0006,00,09,02,T,10.0
