,ID,TM,ME,PA,AE,SS
0,0,0,0,0,T,88.75
1,0,0,0,1,T,70.0
2,0,0,0,2,T,55.0
3,0,0,0,3,T,27.5
4,0,0,0,4,T,2.5
5,0,0,1,0,T,73.75
6,0,0,1,1,T,62.5
7,0,0,1,2,T,42.5
8,0,0,1,3,T,5.0
9,0,0,1,4,T,2.5
10,0,0,10,0,T,33.0
11,0,0,11,0,T,87.5
12,0,0,2,0,T,83.75
13,0,0,2,1,T,67.5
14,0,0,2,2,T,52.5
15,0,0,2,3,T,32.5
16,0,0,2,4,T,15.5
17,0,0,3,1,T,45.0
18,0,0,3,2,T,22.5
19,0,0,3,3,T,0.0
20,0,0,3,4,T,0.0
21,0,0,4,0,T,60.0
22,0,0,4,1,T,35.0
23,0,0,4,2,T,24.5
24,0,0,6,0,T,10.0
25,0,0,6,2,T,45.0
26,0,0,7,0,T,15.0
27,0,0,7,1,T,20.0
28,0,0,8,1,T,15.0
29,0,0,9,0,T,42.5
30,0,0,9,1,T,17.5
31,0,0,9,2,T,0.0
32,0,0,9,3,T,42.5
33,0,0,9,4,T,22.5
34,0,0,9,5,T,10.0
35,1,0,0,0,T,90.0
36,1,0,0,1,T,72.5
37,1,0,0,2,T,57.5
38,1,0,0,3,T,32.5
39,1,0,0,4,T,0.0
40,1,0,1,0,T,76.25
41,1,0,1,1,T,57.5
42,1,0,1,2,T,35.0
43,1,0,1,3,T,7.5
44,1,0,1,4,T,0.0
45,1,0,10,0,T,8.0
46,1,0,11,0,T,87.5
47,1,0,2,0,T,83.75
48,1,0,2,1,T,72.5
49,1,0,2,2,T,55.0
50,1,0,2,3,T,32.5
51,1,0,2,4,T,15.5
52,1,0,3,0,T,57.5
53,1,0,3,1,T,47.5
54,1,0,3,2,T,32.5
55,1,0,3,3,T,5.0
56,1,0,3,4,T,0.0
57,1,0,4,0,T,60.0
58,1,0,4,1,T,40.0
59,1,0,4,2,T,27.0
60,1,0,6,0,T,25.0
61,1,0,7,0,T,12.5
62,1,0,7,1,T,22.5
63,1,0,8,1,T,17.5
64,1,0,9,0,T,50.0
65,1,0,9,1,T,32.5
66,1,0,9,2,T,17.5
67,1,0,9,3,T,55.0
68,1,0,9,4,T,30.0
69,1,0,9,5,T,12.5
70,2,0,0,0,T,91.25
71,2,0,0,1,T,81.25
72,2,0,0,2,T,72.5
73,2,0,0,3,T,50.0
74,2,0,0,4,T,22.5
75,2,0,1,0,T,83.75
76,2,0,1,1,T,72.5
77,2,0,1,2,T,52.5
78,2,0,1,3,T,27.5
79,2,0,1,4,T,10.0
80,2,0,10,0,T,3.0
81,2,0,11,0,T,85.0
82,2,0,2,0,T,83.75
83,2,0,2,1,T,77.5
84,2,0,2,2,T,60.0
85,2,0,2,3,T,40.0
86,2,0,2,4,T,23.0
87,2,0,3,1,T,57.5
88,2,0,3,2,T,22.5
89,2,0,4,1,T,35.0
90,2,0,4,2,T,34.5
91,2,0,6,0,T,17.5
