Unnamed: 0,ID,TM,ME,PA,AE,SS
8,0,0,1,3,T,5.0
24,0,0,6,0,T,10.0
25,0,0,6,2,T,45.0
26,0,0,7,0,T,15.0
28,0,0,8,1,T,15.0
43,1,0,1,3,T,7.5
61,1,0,7,0,T,12.5
80,2,0,10,0,T,3.0
83,2,0,2,1,T,77.5
92,2,0,9,0,T,75.0
93,2,0,9,1,T,47.5
115,3,0,3,0,T,67.5
123,3,0,5,0,T,32.5
128,3,0,9,1,T,37.5
158,4,0,5,0,T,32.5
164,4,0,9,1,T,40.0
181,5,0,7,0,T,17.5
185,5,0,9,4,T,37.5
226,7,0,5,0,T,27.5
229,7,0,7,0,T,17.5
231,7,0,8,1,T,15.0
245,8,0,1,2,T,63.33
251,8,0,2,2,T,63.33
305,11,0,0,0,T,83.33
316,11,0,11,0,T,90.0
338,12,0,1,2,T,63.33
339,12,0,1,3,T,38.33
340,12,0,1,4,T,25.0
368,13,0,3,0,T,70.0
376,13,0,5,0,T,40.0
381,13,0,8,1,T,30.0
386,13,0,9,4,T,46.67
422,15,0,11,0,T,90.0
428,15,0,3,0,T,66.67
431,15,0,3,3,T,18.33
434,15,0,4,1,T,65.0
482,18,0,11,0,T,73.33
507,19,0,3,0,T,66.67
515,19,0,5,0,T,26.67
551,20,0,5,0,T,23.33
553,20,0,7,0,T,13.33
555,20,0,8,1,T,13.33
588,21,0,7,0,T,16.67
673,24,0,5,0,T,26.67
696,25,0,11,0,T,76.67
710,25,0,5,0,T,23.33
711,25,0,6,0,T,11.670000000000002
714,25,0,7,0,T,16.67
716,25,0,8,1,T,13.33
734,26,0,11,0,T,90.0
740,26,0,3,0,T,66.67
743,26,0,3,3,T,18.33
749,26,0,7,0,T,16.67
801,28,0,5,0,T,26.67
803,28,0,7,0,T,16.67
832,29,0,5,0,T,26.67
866,30,0,5,0,T,26.67
943,33,0,0,0,T,78.33
997,34,0,5,0,T,33.33
1116,38,0,5,0,T,33.33
1128,39,0,0,0,T,83.33
1154,40,0,0,0,T,85.0
1179,40,0,5,0,T,26.67
1181,40,0,7,0,T,16.67
1227,42,0,0,0,T,85.0
1333,46,0,0,0,T,85.0
1395,47,0,7,0,T,23.33
1415,48,0,11,0,T,76.67
1481,50,0,3,3,T,18.33
1518,51,0,5,0,T,33.33
1520,51,0,7,0,T,23.33
1542,52,0,5,0,T,33.33
1561,53,0,11,0,T,76.67
1636,55,0,5,0,T,33.33
1638,55,0,7,0,T,23.33
1643,56,0,0,0,T,76.67
1667,56,0,7,0,T,16.67
1768,61,0,0,2,T,80.0
1770,61,0,0,4,T,30.0
1775,61,0,1,4,T,25.0
1783,61,0,4,2,T,47.0
1789,62,0,0,0,T,78.33
1918,66,0,11,0,T,90.0
1972,68,0,10,0,T,55.5
1989,68,0,6,2,T,30.0
2006,69,0,1,2,T,60.0
2007,69,0,1,3,T,41.67
2019,69,0,3,3,T,18.33
2024,69,0,5,0,T,36.67
2026,69,0,7,0,T,26.67
2136,73,0,11,0,T,76.67
2195,75,0,11,0,T,73.33
2231,76,0,5,0,T,26.67
2316,80,0,0,0,T,93.33
2345,80,0,7,0,T,16.67
2461,84,0,11,0,T,90.0
2511,86,0,0,0,T,93.33
2586,88,0,7,0,T,16.67
2618,89,0,7,0,T,23.33
2627,90,0,0,0,T,85.0
2677,91,0,7,0,T,23.33
2766,95,0,1,4,T,28.33
2800,96,0,7,0,T,23.33
2894,99,0,2,2,T,30.0
2895,99,0,2,3,T,9.0
2896,99,0,2,4,T,0.0
2905,99,0,6,0,T,9.0
2906,99,0,7,0,T,16.0
2907,99,0,8,1,T,14.0
2908,99,0,9,0,T,70.0
2934,100,0,7,0,T,24.0
2952,101,0,11,0,T,90.0
2964,101,0,4,2,T,47.0
2967,101,0,7,0,T,24.0
2968,101,0,7,1,T,17.0
2971,101,0,9,0,T,66.0
3007,102,0,9,2,T,18.0
3020,103,0,2,2,T,69.0
3021,103,0,2,3,T,48.0
3022,103,0,2,4,T,36.0
3050,104,0,7,1,T,29.0
3071,105,0,8,1,T,27.0
3103,106,0,7,0,T,25.0
3104,106,0,7,1,T,27.0
3134,108,0,1,3,T,34.0
3137,108,0,2,0,T,86.0
3139,108,0,2,2,T,63.0
3140,108,0,2,3,T,42.0
3141,108,0,2,4,T,32.0
3149,108,0,4,2,T,43.0
3154,108,0,9,3,T,66.0
3155,108,0,9,4,T,44.0
3156,108,0,9,5,T,20.0
3160,109,0,0,3,T,56.0
3161,109,0,0,4,T,30.0
3183,109,0,9,1,T,33.0
3184,109,0,9,2,T,16.0
3185,109,0,9,3,T,62.0
3186,109,0,9,4,T,40.0
3187,109,0,9,5,T,20.0
3202,110,0,8,1,T,27.0
3215,111,0,10,0,T,55.0
3219,111,0,2,2,T,65.0
3220,111,0,2,3,T,48.0
3221,111,0,2,4,T,34.0
3228,111,0,4,1,T,71.0
3229,111,0,4,2,T,47.0
3232,111,0,8,1,T,27.0
3236,111,0,9,3,T,58.0
3237,111,0,9,4,T,40.0
3259,112,0,8,1,T,25.0
3280,113,0,9,2,T,16.0
3323,115,0,7,1,T,27.0
3334,116,0,1,3,T,34.0
3340,116,0,2,3,T,42.0
3341,116,0,2,4,T,34.0
3354,117,0,2,2,T,61.0
3418,119,0,9,2,T,6.0
3431,120,0,10,0,T,45.0
3735,131,0,9,2,T,16.0
3765,132,0,7,1,T,17.0
3804,133,0,9,2,T,2.0
3839,135,0,11,0,T,93.0
